what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1602337381378
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1602337381379
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1602337381379
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1602337381380
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1602337381380
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1602337381380
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1602337381381
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1602337381381
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1602337381381
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1602337381382
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1602337381382
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1602337381383
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1602337381383
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1602337381384
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1602337381384
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1602337381384
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1602337381385
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1602337381385
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1602337381385
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1602337381386
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1602337381386
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1602337381386
os,sysinfo,,,"win32",1602337381388
arch,sysinfo,,,"x86",1602337381388
ws,sysinfo,,,"win32",1602337381388
locale,sysinfo,,,"ru_RU",1602337381388
processors,sysinfo,,,"8",1602337381388
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1602337381388
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1602337381388
java.specification.name,sysinfo,,,"Java Platform API Specification",1602337381388
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1602337381388
java.specification.version,sysinfo,,,"1.6",1602337381388
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1602337381388
java.version,sysinfo,,,"1.6.0_23",1602337381388
java.vm.info,sysinfo,,,"mixed mode",1602337381388
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1602337381388
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1602337381388
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1602337381388
java.vm.specification.version,sysinfo,,,"1.0",1602337381388
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1602337381388
java.vm.version,sysinfo,,,"19.0-b09",1602337381388
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1602337562022
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1602337562891
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1602337563018
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1602337563021
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1602337563660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337563716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337565794
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1602337565798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1602337565798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337576274
started,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1602337586109
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1602337586282
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1602337586286
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1602337586286
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1602337586287
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1602337628936
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1602337628965
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1602337629788
